title,division,state,roster_link
Arizona Western,D1,AZ,https://www.awcmatadors.com/baseball/roster/list?field_school_terms_target_id=44
Central Arizona,D1,AZ,https://www.vaquerosports.com/sports/bsb/2020-21/roster
Cochise,D1,AZ,https://athletics.cochise.edu/baseball/baseball-roster/
Eastern Arizona,D1,AZ,http://www.eacmonsters.com/baseScheduleCurrent.asp#roster
Pima,D1,AZ,http://pimaaztecs.com/sports/bsb/2020-21/roster
South Mountain,D1,AZ,https://athletics.southmountaincc.edu/sports/bsb/2020-21/roster
Yavapai,D1,AZ,https://goroughriders.com/sports/baseball/roster
Arkansas Baptist,D1,AR,https://www.abcbuffaloes.com/sport/baseball/mens/#
Connors State,D1,OK,http://www.connorsathletics.com/sports/bsb/2020-21/roster
Eastern Oklahoma State,D1,OK,https://www.eoscathletics.com/sports/bsb/2020-21/roster
Northeastern Oklahoma A&M,D1,OK,https://neoathletics.com/sports/baseball/roster
Rose State,D1,OK,https://rscraiders.com/sports/baseball/roster
Seminole State (OK),D1,OK,https://seminole.prestosports.com/sports/bsb/2020-21/roster
Harry S. Truman,D1,IL,https://citycollegesofchicagoathletics.com/sports/2020/3/12/TCBASEROSTER2020.aspx?id=193&
Kennedy-King,D1,IL,https://citycollegesofchicagoathletics.com/sports/2020/3/18/KKBASEROSTER2020.aspx?id=194&
Kishwaukee,D1,IL,https://www.kishkougars.com/sports/bsb/2020-21/roster
Olive-Harvey,D1,IL,https://citycollegesofchicagoathletics.com/sports/2020/2/23/OHBASEROSTER2020.aspx?id=192&
South Suburban,D1,IL,https://www.ssc.edu/athletics/baseball/baseball-roster/
Triton,D1,IL,https://tritonathletics.com/sports/baseball/roster
Cisco,D1,TX,https://www.wranglersports.net/sports/bsb/2020-21/roster
Clarendon,D1,TX,https://athletics.clarendoncollege.edu/baseballroster
El Paso,D1,TX,https://www.epcc.edu/Services/Athletics/baseball
Frank Phillips,D1,TX,https://fpctx.edu/athletics/baseball/
Grayson,D1,TX,https://www.gcvikings.com/sports/bsb/2020-21/roster
Hill,D1,TX,https://www.hillcollege.edu/Athletics/Baseball/Roster.html
Howard (TX),D1,TX,https://hchawk.com/baseball/
McLennan,D1,TX,http://mclennanathletics.com/sports/bsb/2020-21/roster
Midland,D1,TX,http://www.gochaps.com/baseball/roster.php
New Mexico,D1,NM,https://www.nmjcthunderbirds.com/sports/bsb/2020-21/roster
New Mexico Military,D1,NM,https://www.nmmiathletics.com/sports/bsb/2020-21/roster
North Central Texas,D1,TX,https://www.nctcathletics.com/sports/bsb/2020-21/roster
Odessa,D1,TX,https://www.wranglersports.com/sports/bsb/2020-21/roster?view=list
Ranger,D1,TX,https://www.rangersports.net/sports/bsb/2020-21/roster
Temple,D1,TX,https://www.tcleopards.com/sports/bsb/2020-21/roster
Vernon,D1,TX,https://gochapsports.com/sports/bsb/2020-21/roster
Weatherford,D1,TX,https://wcathletics.com/sports/bsb/2020-21/roster
Western Texas,D1,TX,https://www.wtcathletics.com/sports/bsb/2020-21/roster
Allen County,D1,
Barton,D1,
Butler,D1,
Cloud County,D1,
Coffeyville,D1,
Colby,D1,
Cowley,D1,
Dodge City,D1,
Fort Scott,D1,
Garden City,D1,
Highland (KS),D1,
Hutchinson,D1,
Johnson County,D1,
Kansas City Kansas,D1,
Labette,D1,
Neosho County,D1,
Pratt,D1,
Seward County,D1,
Chattanooga State,D1,
Cleveland State,D1,
Columbia State,D1,
Dyersburg State,D1,
Jackson State,D1,
Motlow State,D1,
Roane State,D1,
Southwest Tennessee,D1,
Volunteer State,D1,
Walters State,D1,
Central Florida,D1,
Chipola,D1,
Daytona State,D1,
Eastern Florida State,D1,
Florida SouthWestern State,D1,
Florida State Jacksonville,D1,
Gulf Coast State,D1,
Hillsborough,D1,
Indian River State,D1,
Lake-Sumter State,D1,
Miami Dade,D1,
Northwest Florida State,D1,
Palm Beach State,D1,
Pensacola State,D1,
Polk State,D1,
Santa Fe,D1,
Seminole State (FL),D1,
South Florida State,D1,
St. Johns River State,D1,
St. Petersburg,D1,
State College of Florida,D1,
Tallahassee,D1,
Lamar,D1,
Luna,D1,
McCook,D1,
Northeastern,D1,
Otero,D1,
Southeast,D1,
Trinidad State,D1,
Western Nebraska,D1,
Florence-Darlington Tech,D1,
Louisburg,D1,
Spartanburg Methodist,D1,
USC Lancaster,D1,
USC Salkehatchie,D1,
USC Sumter,D1,
USC Union,D1,
Indian Hills,D1,
Iowa Western,D1,
Marshalltown,D1,
Southwestern,D1,
Alvin,D1,
Angelina,D1,
Blinn,D1,
Bossier Parish,D1,
Galveston,D1,
Laredo,D1,
Navarro,D1,
Northeast Texas,D1,
Panola,D1,
Paris,D1,
San Jacinto-North,D1,
Wharton County,D1,
ASA Brooklyn,D1,
Monroe College,D1,
Crowder,D1,
Jefferson (MO),D1,
Metropolitan Community College,D1,
Mineral Area,D1,
St. Charles,D1,
St. Louis,D1,
State Fair,D1,
Three Rivers,D1,
Abraham Baldwin,D1,
Andrew,D1,
East Georgia State,D1,
Georgia Highlands,D1,
Gordon State,D1,
South Georgia State,D1,
Colorado Northwestern,D1,
Salt Lake,D1,
Southern Idaho,D1,
Southern Nevada,D1,
Utah State Eastern,D1,
Hagerstown,D1,
Harford,D1,
Potomac State,D1,
Bevill State Community College,D1,
Bishop State,D1,
Calhoun,D1,
Central Alabama,D1,
Chattahoochee Valley,D1,
Coastal Alabama - Bay Minette,D1,
Coastal Alabama - Brewton,D1,
Coastal Alabama - Monroeville,D1,
Enterprise State,D1,
Lawson State,D1,
Lurleen B. Wallace,D1,
Marion Military,D1,
Shelton State,D1,
Snead State,D1,
Southern Union State,D1,
Wallace State,D1,
Wallace-Dothan,D1,
Wallace-Selma,D1,
Baton Rouge,D1,
Delgado,D1,
Nunez Community College,D1,
Frontier,D1,
John A. Logan,D1,
Kaskaskia,D1,
Lake Land,D1,
Lincoln Trail,D1,
Olney Central,D1,
Rend Lake,D1,
Shawnee,D1,
Southeastern Illinois,D1,
Southwestern Illinois,D1,
Wabash Valley,D1,
Chandler-Gilbert,D2,
GateWay (AZ),D2,
Glendale,D2,
Mesa,D2,
Paradise Valley,D2,
Phoenix,D2,
Scottsdale,D2,
Carl Albert State,D2,
Murray State,D2,
National Park College,D2,
Northern Oklahoma Enid,D2,
Northern Oklahoma Tonkawa,D2,
Redlands,D2,
UA Rich Mountain,D2,
Western Oklahoma State,D2,
Monroe CC,D2,
Black Hawk-Moline,D2,
Bryant & Stratton College (WI),D2,
Carl Sandburg,D2,
Highland (IL),D2,
Kankakee,D2,
Lake County,D2,
Madison,D2,
McHenry County,D2,
Moraine Valley,D2,
Morton,D2,
Prairie State,D2,
Sauk Valley,D2,
Hesston,D2,
ASA Miami,D2,
Pasco-Hernando State,D2,
Brunswick,D2,
Bryant & Stratton (VA),D2,
Camp Community College,D2,
Catawba Valley,D2,
Cleveland Community College,D2,
Fayetteville Tech,D2,
Guilford Tech,D2,
Lenoir,D2,
Patrick Henry,D2,
Pitt,D2,
Southeastern-Whiteville,D2,
Wake Tech,D2,
Des Moines Area,D2,
Ellsworth,D2,
Iowa Central,D2,
Iowa Lakes,D2,
Kirkwood,D2,
North Iowa Area,D2,
Northeast,D2,
Southeastern,D2,
Ancilla,D2,
Glen Oaks,D2,
Grand Rapids,D2,
Henry Ford,D2,
Ivy Tech Community College Northeast,D2,
Jackson,D2,
Kalamazoo Valley,D2,
Kellogg,D2,
Lake Michigan,D2,
Lakeland,D2,
Lansing,D2,
Macomb,D2,
Mid Michigan,D2,
Mott,D2,
Muskegon,D2,
Schoolcraft,D2,
St. Clair County,D2,
Bay College,D2,
Bismarck State,D2,
Dakota,D2,
Dakota County Tech,D2,
Dawson,D2,
Gogebic,D2,
Lake Region State,D2,
Miles,D2,
Williston State,D2,
Orange County,D2,
Sullivan County,D2,
Ulster County,D2,
North Central Missouri,D2,
Delaware Tech,D2,
Lackawanna,D2,
Mercer County,D2,
Morris,D2,
Raritan Valley,D2,
