title,division,conference,state,location,link,roster_link
Abilene Christian University,D1,Southland,TX,"Abilene, TX",http://www.acusports.com/index.aspx?path=baseball,http://www.acusports.com/sports/baseball/roster
Alabama A&M University,D1,Southwestern,AL,"Huntsville, AL",http://www.aamusports.com/index.aspx?path=baseball,http://www.aamusports.com/sports/baseball/roster
Alabama State University,D1,Southwestern,AL,"Montgomery, AL",http://bamastatesports.com/index.aspx?path=baseball,https://bamastatesports.com/roster.aspx?path=baseball
Alcorn State University,D1,Southwestern,MS,"Lorman, MS",http://www.alcornsports.com/index.aspx?path=baseball,http://www.alcornsports.com/sports/baseball/roster
Appalachian State University,D1,Sun Belt,NC,"Boone, NC",https://appstatesports.com/index.aspx?path=baseball,https://appstatesports.com/sports/baseball/roster
Arizona State University,D1,Pac-12,AZ,"Tempe, AZ",https://thesundevils.com/sports/baseball,https://thesundevils.com/sports/baseball/roster
Arkansas State University,D1,Sun Belt,AR,"Jonesboro, AR",http://www.astateredwolves.com/SportSelect.dbml?SPID=2740,http://www.astateredwolves.com/sports/baseball/roster
Auburn University,D1,SEC,AL,"Auburn, AL",https://auburntigers.com/sports/baseball,https://auburntigers.com/sports/baseball/roster
Austin Peay State University,D1,Ohio Valley,TN,"Clarksville, TN",http://letsgopeay.com/index.aspx?path=baseball,http://letsgopeay.com/sports/baseball/roster
Ball State University,D1,Mid-American,IN,"Muncie, IN",http://ballstatesports.com/index.aspx?path=baseball,http://ballstatesports.com/sports/baseball/roster
Baylor University,D1,Big 12,TX,"Waco, TX",https://baylorbears.com/sports/baseball,https://baylorbears.com/sports/baseball/roster
Bellarmine University,D1,ASUN,KY,"Louisville, KY",https://athletics.bellarmine.edu/index.aspx?path=baseball,https://athletics.bellarmine.edu/sports/baseball/roster
Belmont University,D1,Ohio Valley,TN,"Nashville, TN",http://www.belmontbruins.com/sports/m-basebl/index,https://belmont.prestosports.com/sports/m-basebl/2020-21/roster
Bethune-Cookman University,D1,Mid-Eastern,FL,"Daytona Beach, FL",https://bcuathletics.com/index.aspx?path=baseball,https://bcuathletics.com/sports/baseball/roster
Binghamton University,D1,America East,NY,"Binghamton, NY",http://bubearcats.com/index.aspx?path=baseball,http://bubearcats.com/sports/baseball/roster
Boston College,D1,ACC,MA,"Chestnut Hill, MA",http://bceagles.com/index.aspx?path=baseball,http://bceagles.com/sports/baseball/roster
Bowling Green State University,D1,Mid-American,OH,"Bowling Green, OH",https://bgsufalcons.com/sports/baseball,https://bgsufalcons.com/sports/baseball/roster
Bradley University,D1,Missouri Valley,IL,"Peoria, IL",https://bradleybraves.com/index.aspx?path=base,https://bradleybraves.com/sports/baseball/roster
