Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Levi Abbott,RHP,Canisius College,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,13.1,1,2.02,0,11
Cohen Achen,RHP,Lindsey Wilson College,NAIA,0,0,0,0,0,0,0,0,0,,,,,11,49.2,5,1.99,0,44
Maxime Adam,OF,Indian Hills,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Ben Adams,LHP,St. John's University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,6,6.2,0,16.2,0,4
Brock Alexander,1B,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Abraham Alvarez,C,San Jacinto-North,JUCO: Division 1,6,6,0,1,0,0,0,0,0,0.167,0.167,0.167,0.334,0,0.0,0,0.0,0,0
Tysen Appel,RHP,Williston State,JUCO: Division 2,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,11.0,1,4.09,0,5
Shuta Araki,INF,Colorado Northwestern,JUCO: Division 1,41,120,29,25,3,0,0,8,15,0.208,0.371,0.233,0.604,0,0.0,0,0.0,0,0
Carter Arbuthnot,IF,Erie,JUCO: Division 3,27,82,23,29,5,0,4,29,2,0.354,0.432,0.561,0.993,0,0.0,0,0.0,0,0
Aidan Armitage,RHP,University of Saint Francis,NAIA,0,0,0,0,0,0,0,0,0,,,,,8,7.2,0,16.43,0,4
Darius Armorer,OF/RHP,Bossier Parish,JUCO: Division 1,10,8,1,1,1,0,0,1,0,0.125,0.222,0.25,0.472,0,0.0,0,0.0,0,0
Jamal Armstrong,OF,St. Clair County,JUCO: Division 2,24,62,19,15,2,1,1,16,7,0.242,0.405,0.355,0.76,0,0.0,0,0.0,0,0
Bryce Arnold,INF,Campbell University,NCAA: Division 1,28,97,30,35,5,2,2,22,4,0.361,0.484,0.515,0.999,0,,0,,0,0
Jared Arnold,RHP,Colby,JUCO: Division 1,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,25.2,2,9.82,0,37
Udhay Bal,3B/1B,Dodge City,JUCO: Division 1,11,21,7,4,1,0,1,4,0,0.19,0.37,0.381,0.751,0,0.0,0,0.0,0,0
Ethan Baptie,OF,Dodge City,JUCO: Division 1,29,92,29,26,6,2,5,19,1,0.283,0.377,0.554,0.931,0,0.0,0,0.0,0,0
Franco Barbieri,OF,North Iowa Area,JUCO: Division 2,26,62,20,16,2,2,2,10,13,0.258,0.352,0.452,0.804,0,0.0,0,0.0,0,0
David Barron,"LHP,1B",South Suburban,JUCO: Division 1,16,29,6,8,2,0,0,5,0,0.276,0.3,0.345,0.645,6,8.1,0,10.8,0,12
Lukas Barry,RHP,Connors State,JUCO: Division 1,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,13.1,2,7.42,0,15
