,player_name,team,G,xHG,xPCT,HG,PCT
196,DJ LeMahieu,NYY,145,95,65.51724137931035,105,72.41379310344827
309,Jose Abreu,CWS,159,93,58.490566037735846,102,64.15094339622641
441,Whit Merrifield,KC,162,92,56.79012345679012,123,75.92592592592592
531,Mookie Betts,BOS,149,92,61.74496644295302,97,65.1006711409396
840,Rafael Devers,BOS,156,88,56.41025641025641,105,67.3076923076923
279,Marcus Semien,OAK,162,87,53.70370370370371,106,65.4320987654321
277,Anthony Rendon,WSH,146,87,59.589041095890416,95,65.06849315068493
837,Ozzie Albies,ATL,160,86,53.75,105,65.625
809,Amed Rosario,NYM,157,85,54.14012738853503,108,68.78980891719745
779,Trey Mancini,BAL,154,85,55.1948051948052,99,64.28571428571429
754,Cody Bellinger,LAD,156,85,54.48717948717948,97,62.17948717948718
578,Ketel Marte,ARI,144,84,58.333333333333336,100,69.44444444444444
155,J.D. Martinez,BOS,146,84,57.534246575342465,94,64.38356164383562
445,Xander Bogaerts,BOS,155,83,53.5483870967742,109,70.3225806451613
929,David Fletcher,LAA,149,83,55.70469798657718,106,71.14093959731544
127,Michael Brantley,HOU,148,83,56.08108108108109,100,67.56756756756756
177,Starlin Castro,MIA,162,82,50.617283950617285,106,65.4320987654321
329,Nolan Arenado,COL,155,82,52.903225806451616,102,65.80645161290323
396,Nicholas Castellanos,CHC,151,81,53.64238410596026,110,72.84768211920529
453,Jorge Polanco,MIN,153,80,52.28758169934641,105,68.62745098039215
192,Freddie Freeman,ATL,158,80,50.63291139240506,95,60.12658227848101
68,Charlie Blackmon,COL,140,80,57.14285714285714,94,67.14285714285714
204,Anthony Rizzo,CHC,146,80,54.794520547945204,88,60.273972602739725
136,Yuli Gurriel,HOU,144,79,54.861111111111114,97,67.36111111111111
601,Kevin Pillar,SF,160,79,49.375,94,58.75
906,Ronald Acuna Jr.,ATL,156,78,50.0,94,60.256410256410255
178,Starling Marte,PIT,130,78,60.0,84,64.61538461538461
492,Francisco Lindor,CLE,143,77,53.84615384615385,94,65.73426573426573
142,Eduardo Escobar,ARI,158,75,47.46835443037975,96,60.75949367088608
176,Jean Segura,PHI,144,75,52.083333333333336,96,66.66666666666666
499,Trevor Story,COL,145,75,51.724137931034484,93,64.13793103448275
105,Elvis Andrus,TEX,147,74,50.34013605442177,101,68.70748299319727
154,Tommy Pham,TB,145,74,51.03448275862069,93,64.13793103448275
