player_name,team,G,xHG,xPCT,HG,PCT
DJ LeMahieu,NYY,145,95,65.5,105,72.4
Jose Abreu,CWS,159,93,58.5,102,64.2
Whit Merrifield,KC,162,92,56.8,123,75.9
Mookie Betts,BOS,149,92,61.7,97,65.1
Rafael Devers,BOS,156,88,56.4,105,67.3
Marcus Semien,OAK,162,87,53.7,106,65.4
Anthony Rendon,WSH,146,87,59.6,95,65.1
Ozzie Albies,ATL,160,86,53.8,105,65.6
Amed Rosario,NYM,157,85,54.1,108,68.8
Trey Mancini,BAL,154,85,55.2,99,64.3
Cody Bellinger,LAD,156,85,54.5,97,62.2
Ketel Marte,ARI,144,84,58.3,100,69.4
J.D. Martinez,BOS,146,84,57.5,94,64.4
Xander Bogaerts,BOS,155,83,53.5,109,70.3
David Fletcher,LAA,149,83,55.7,106,71.1
Michael Brantley,HOU,148,83,56.1,100,67.6
Starlin Castro,MIA,162,82,50.6,106,65.4
Nolan Arenado,COL,155,82,52.9,102,65.8
Nicholas Castellanos,CHC,151,81,53.6,110,72.8
Jorge Polanco,MIN,153,80,52.3,105,68.6
Freddie Freeman,ATL,158,80,50.6,95,60.1
Charlie Blackmon,COL,140,80,57.1,94,67.1
Anthony Rizzo,CHC,146,80,54.8,88,60.3
Yuli Gurriel,HOU,144,79,54.9,97,67.4
Kevin Pillar,SF,160,79,49.4,94,58.8
Ronald Acuna Jr.,ATL,156,78,50.0,94,60.3
Starling Marte,PIT,130,78,60.0,84,64.6
Francisco Lindor,CLE,143,77,53.8,94,65.7
Eduardo Escobar,ARI,158,75,47.5,96,60.8
Jean Segura,PHI,144,75,52.1,96,66.7
Trevor Story,COL,145,75,51.7,93,64.1
Elvis Andrus,TEX,147,74,50.3,101,68.7
Tommy Pham,TB,145,74,51.0,93,64.1
Bryan Reynolds,PIT,133,74,55.6,87,65.4
Jorge Soler,KC,162,74,45.7,81,50.0
Pete Alonso,NYM,160,73,45.6,75,46.9
Mike Trout,LAA,133,73,54.9,69,51.9
Jonathan Villar,BAL,161,72,44.7,105,65.2
Carlos Santana,CLE,158,72,45.6,93,58.9
Lorenzo Cain,MIL,145,72,49.7,91,62.8
Josh Bell,PIT,143,72,50.3,83,58.0
Justin Turner,LAD,135,72,53.3,68,50.4
Yoan Moncada,CWS,131,71,54.2,91,69.5
Jeff McNeil,NYM,132,71,53.8,87,65.9
