Year,Tm,WAR,Salary,Position
2000,CHW,-0.3,"$255,000",CF
2000,NYM,-0.4,"$500,000",SS
2000,SEA,0.1,"$285,000",P
2000,PHI,6.2,"$2,933,333",RF
2000,MIL,0.0,"$612,500",P
2000,LAD,0.0,"$1,400,000",P
2000,NYM,2.0,"$220,000",LF
2000,CHC,0.0,"$3,500,000",P
2000,BOS,0.3,"$200,000",RF
2000,PHI,0.0,"$600,000",P
2000,BOS,-0.7,"$612,500",3B
2000,FLA,0.0,"$380,000",P
2000,NYM,6.4,"$4,225,000",2B
2000,TEX,1.1,"$750,000",2B
2000,MIN,-0.1,,RF
2000,2TM,0.1,"$200,000",1B
2000,FLA,0.0,"$203,000",P
2000,SDP,-0.1,"$215,000",P
2000,CLE,5.6,"$7,196,656",2B
2000,CLE,0.6,"$2,700,000",C
2000,HOU,2.6,"$5,250,000",RF
2000,PHI,-0.1,,C
2000,2TM,-0.3,,
2000,ANA,,,P
2000,BAL,-0.2,"$500,000",CF
2000,Tm,WAR,Salary,
2000,BAL,1.9,"$7,127,199",CF
2000,ARI,-0.1,"$2,250,000",P
2000,ANA,1.9,"$3,250,000",CF
2000,PIT,-0.2,"$215,000",P
2000,PHI,-0.5,,2B
2000,DET,0.0,"$255,000",P
2000,TOR,-0.1,,P
2000,CHC,-0.1,"$1,000,000",3B
2000,STL,0.7,"$202,500",P
2000,OAK,0.0,"$5,600,000",P
2000,MIN,-0.2,,C
2000,PHI,-0.6,"$550,000",SS
2000,MON,-0.1,"$200,000",P
2000,2TM,0.0,,P
2000,2TM,-0.2,"$325,000",P
2000,PIT,-0.1,,P
2000,2TM,-0.1,"$5,900,000",P
2000,COL,-0.5,"$6,350,000",P
2000,SFG,2.4,"$1,550,000",SS
2000,DET,3.4,"$4,000,000",C
2000,2TM,-0.2,"$320,000",LF
2000,3TM,0.0,"$270,000",P
2000,HOU,5.4,"$6,500,000",1B
2000,2TM,-0.3,"$2,000,000",
2000,3TM,-0.7,"$275,000",C
2000,Tm,WAR,Salary,
2000,CHW,-0.1,"$3,300,000",P
2000,TOR,,,P
2000,ARI,0.0,,C
2000,CHW,,"$200,000",P
2000,HOU,0.0,"$255,000",CF
2000,MIL,0.1,"$205,000",1B
2000,MIN,0.2,,RF
2000,MON,-2.0,"$265,000",3B
2000,CIN,0.0,,LF
2000,2TM,0.0,"$325,000",P
2000,TOR,2.4,"$1,200,000",3B
2000,ANA,0.1,,2B
2000,2TM,0.5,"$500,000",RF
2000,BOS,,"$3,500,000",P
2000,2TM,0.8,"$700,000",RF
2000,CHW,0.0,,P
2000,ANA,,"$4,600,000",P
2000,2TM,0.0,"$1,500,000",P
2000,OAK,,,P
2000,SEA,0.8,"$1,425,000",3B
2000,NYM,1.7,"$5,000,000",RF
2000,ARI,0.8,"$7,000,000",2B
2000,CIN,0.2,,3B
2000,CIN,-0.3,"$200,000",P
2000,BAL,0.6,"$12,868,670",RF
2000,Tm,WAR,Salary,
2000,OAK,0.0,,2B
2000,MIL,2.4,"$250,000",2B
2000,NYY,0.2,"$206,650",CF
2000,KCR,0.9,"$350,000",CF
2000,COL,0.0,,P
2000,LAD,3.4,"$1,000,000",3B
2000,SFG,2.1,"$1,125,000",CF
2000,STL,0.1,,P
2000,STL,-0.3,"$2,867,542",P
2000,NYM,0.0,"$3,437,500",P
2000,PIT,1.0,"$700,000",3B
2000,PHI,0.3,,C
